Age_Group,Income_Level,City,Occupation,Tech_Adoption,Vehicle_Usage,Willingness_to_Pay,Expected_Price_Range
26-35,Low,Hyderabad,Doctor,Average User,Occasional Travel,Medium,20L-30L
60+,Middle,Kolkata,Driver,Late Adopter,Long Trips,Medium,<10L
46-60,High,Bangalore,Driver,Average User,Long Trips,High,30L+
36-45,Middle,Kolkata,Driver,Average User,Daily Commute,Medium,20L-30L
26-35,High,Hyderabad,Business Owner,Average User,Daily Commute,High,<10L
26-35,Middle,Pune,Driver,Late Adopter,Daily Commute,Low,30L+
18-25,Middle,Ahmedabad,Teacher,Late Adopter,Daily Commute,Medium,10L-20L
46-60,High,Mumbai,Doctor,Early Adopter,Occasional Travel,High,<10L
36-45,Low,Ahmedabad,Retail Worker,Average User,Occasional Travel,Low,20L-30L
46-60,Middle,Ahmedabad,Driver,Early Adopter,Daily Commute,Medium,10L-20L
18-25,Low,Pune,Student,Average User,Daily Commute,Low,20L-30L
60+,High,Kolkata,Retail Worker,Average User,Daily Commute,Medium,20L-30L
46-60,High,Mumbai,Business Owner,Average User,Occasional Travel,Medium,30L+
26-35,Low,Delhi,Teacher,Average User,Daily Commute,Medium,10L-20L
26-35,Middle,Chennai,Student,Average User,Occasional Travel,Low,10L-20L
26-35,High,Pune,Student,Average User,Daily Commute,Low,20L-30L
26-35,Low,Hyderabad,Student,Average User,Long Trips,Low,<10L
36-45,Middle,Delhi,Student,Average User,Long Trips,Medium,10L-20L
26-35,High,Chennai,Retail Worker,Early Adopter,Daily Commute,Medium,10L-20L
26-35,Low,Hyderabad,Retail Worker,Late Adopter,Daily Commute,High,<10L
36-45,Middle,Ahmedabad,Doctor,Average User,Occasional Travel,Medium,10L-20L
18-25,Low,Bangalore,Driver,Average User,Daily Commute,Medium,30L+
26-35,High,Hyderabad,Mechanic,Average User,Occasional Travel,High,30L+
26-35,High,Mumbai,Doctor,Average User,Long Trips,Medium,<10L
36-45,High,Mumbai,Doctor,Early Adopter,Occasional Travel,High,<10L
46-60,Middle,Bangalore,Teacher,Average User,Long Trips,Medium,10L-20L
26-35,High,Delhi,Teacher,Late Adopter,Daily Commute,Low,30L+
36-45,High,Chennai,Driver,Average User,Daily Commute,Low,<10L
36-45,Low,Hyderabad,Mechanic,Average User,Long Trips,Medium,20L-30L
18-25,High,Mumbai,Teacher,Average User,Daily Commute,Low,<10L
36-45,Low,Delhi,Driver,Early Adopter,Occasional Travel,Medium,20L-30L
26-35,Middle,Bangalore,Driver,Average User,Daily Commute,Medium,10L-20L
18-25,Low,Kolkata,Retail Worker,Late Adopter,Daily Commute,Medium,20L-30L
60+,Low,Pune,Software Engineer,Early Adopter,Business Use,Medium,<10L
60+,Low,Kolkata,Retail Worker,Average User,Daily Commute,Low,20L-30L
46-60,Middle,Kolkata,Mechanic,Average User,Business Use,Medium,<10L
26-35,Low,Mumbai,Teacher,Average User,Business Use,Medium,20L-30L
18-25,Middle,Ahmedabad,Mechanic,Late Adopter,Long Trips,High,30L+
36-45,Low,Ahmedabad,Doctor,Early Adopter,Occasional Travel,Medium,<10L
26-35,Low,Bangalore,Doctor,Average User,Occasional Travel,High,30L+
18-25,Middle,Hyderabad,Mechanic,Early Adopter,Long Trips,Medium,10L-20L
36-45,Middle,Ahmedabad,Software Engineer,Late Adopter,Daily Commute,Medium,<10L
18-25,Low,Kolkata,Software Engineer,Early Adopter,Occasional Travel,Low,10L-20L
60+,Middle,Ahmedabad,Retail Worker,Average User,Occasional Travel,Medium,<10L
26-35,High,Kolkata,Mechanic,Average User,Occasional Travel,Medium,20L-30L
36-45,Middle,Chennai,Teacher,Average User,Occasional Travel,Medium,20L-30L
26-35,Low,Mumbai,Retail Worker,Average User,Daily Commute,Medium,<10L
36-45,Low,Mumbai,Business Owner,Average User,Occasional Travel,Medium,10L-20L
36-45,High,Hyderabad,Software Engineer,Average User,Long Trips,Medium,20L-30L
26-35,Low,Ahmedabad,Student,Average User,Daily Commute,Medium,30L+
60+,High,Ahmedabad,Retail Worker,Early Adopter,Business Use,Low,10L-20L
46-60,Middle,Pune,Doctor,Average User,Occasional Travel,High,30L+
60+,High,Delhi,Retail Worker,Average User,Long Trips,Low,10L-20L
46-60,Middle,Chennai,Mechanic,Average User,Occasional Travel,Low,10L-20L
36-45,High,Mumbai,Student,Average User,Long Trips,Medium,20L-30L
60+,Middle,Chennai,Mechanic,Late Adopter,Daily Commute,Medium,10L-20L
18-25,Middle,Mumbai,Driver,Average User,Long Trips,Medium,10L-20L
26-35,Middle,Chennai,Doctor,Early Adopter,Daily Commute,Low,10L-20L
18-25,Middle,Bangalore,Doctor,Early Adopter,Long Trips,Medium,20L-30L
26-35,Middle,Kolkata,Software Engineer,Late Adopter,Business Use,Medium,20L-30L
26-35,High,Mumbai,Retail Worker,Average User,Daily Commute,High,10L-20L
26-35,High,Chennai,Software Engineer,Early Adopter,Daily Commute,High,10L-20L
46-60,Middle,Ahmedabad,Student,Average User,Long Trips,Medium,10L-20L
26-35,Middle,Delhi,Retail Worker,Average User,Daily Commute,Medium,10L-20L
26-35,Middle,Bangalore,Driver,Average User,Long Trips,Medium,<10L
36-45,Middle,Bangalore,Mechanic,Average User,Daily Commute,Low,20L-30L
18-25,Low,Delhi,Driver,Early Adopter,Daily Commute,Medium,10L-20L
